"Mspan","Metodo","problema"
1813,"LPT",1
2047,"LPT",2
1896,"LPT",3
1853,"LPT",4
1780,"LPT",5
1795,"LPT",6
1786,"LPT",7
1779,"LPT",8
2041,"LPT",9
2018,"LPT",10
2103,"LPT",11
2266,"LPT",12
2050,"LPT",13
1997,"LPT",14
2069,"LPT",15
2299,"LPT",16
2170,"LPT",17
2368,"LPT",18
2198,"LPT",19
2087,"LPT",20
2533,"LPT",21
2796,"LPT",22
2522,"LPT",23
2525,"LPT",24
2393,"LPT",25
2594,"LPT",26
2526,"LPT",27
2338,"LPT",28
2861,"LPT",29
2356,"LPT",30
2599,"LPT",31
2660,"LPT",32
2894,"LPT",33
2848,"LPT",34
2836,"LPT",35
2828,"LPT",36
2807,"LPT",37
2641,"LPT",38
2707,"LPT",39
2703,"LPT",40
3303,"LPT",41
3186,"LPT",42
3001,"LPT",43
3344,"LPT",44
3442,"LPT",45
3330,"LPT",46
2902,"LPT",47
3108,"LPT",48
3137,"LPT",49
3171,"LPT",50
3900,"LPT",51
3934,"LPT",52
3863,"LPT",53
4014,"LPT",54
3772,"LPT",55
3895,"LPT",56
4022,"LPT",57
4093,"LPT",58
3859,"LPT",59
4094,"LPT",60
4266,"LPT",61
4356,"LPT",62
4166,"LPT",63
4111,"LPT",64
4094,"LPT",65
4037,"LPT",66
4171,"LPT",67
4319,"LPT",68
4391,"LPT",69
4381,"LPT",70
7161,"LPT",71
6720,"LPT",72
7360,"LPT",73
6844,"LPT",74
7049,"LPT",75
7126,"LPT",76
7052,"LPT",77
6991,"LPT",78
7008,"LPT",79
7049,"LPT",80
1231,"OPT",1
1244,"OPT",2
1218,"OPT",3
1175,"OPT",4
1224,"OPT",5
1238,"OPT",6
1227,"OPT",7
1217,"OPT",8
1274,"OPT",9
1241,"OPT",10
1357,"OPT",11
1367,"OPT",12
1342,"OPT",13
1345,"OPT",14
1339,"OPT",15
1360,"OPT",16
1462,"OPT",17
1396,"OPT",18
1332,"OPT",19
1348,"OPT",20
1642,"OPT",21
1600,"OPT",22
1557,"OPT",23
1644,"OPT",24
1595,"OPT",25
1645,"OPT",26
1680,"OPT",27
1603,"OPT",28
1625,"OPT",29
1584,"OPT",30
1764,"OPT",31
1784,"OPT",32
1791,"OPT",33
1828,"OPT",34
2007,"OPT",35
1819,"OPT",36
1771,"OPT",37
1673,"OPT",38
1795,"OPT",39
1670,"OPT",40
2006,"OPT",41
1939,"OPT",42
1846,"OPT",43
1979,"OPT",44
2000,"OPT",45
2006,"OPT",46
1889,"OPT",47
1937,"OPT",48
1963,"OPT",49
1923,"OPT",50
2760,"OPT",51
2756,"OPT",52
2717,"OPT",53
2839,"OPT",54
2679,"OPT",55
2781,"OPT",56
2943,"OPT",57
2885,"OPT",58
2655,"OPT",59
2723,"OPT",60
2868,"OPT",61
2869,"OPT",62
2755,"OPT",63
2702,"OPT",64
2725,"OPT",65
2845,"OPT",66
2825,"OPT",67
2784,"OPT",68
3071,"OPT",69
2995,"OPT",70
5464,"OPT",71
5181,"OPT",72
5568,"OPT",73
5339,"OPT",74
5392,"OPT",75
5342,"OPT",76
5436,"OPT",77
5394,"OPT",78
5358,"OPT",79
5183,"OPT",80
1530,"CUN",1
1394,"CUN",2
1520,"CUN",3
1367,"CUN",4
1422,"CUN",5
1505,"CUN",6
1509,"CUN",7
1570,"CUN",8
1532,"CUN",9
1452,"CUN",10
1706,"CUN",11
1699,"CUN",12
1613,"CUN",13
1657,"CUN",14
1616,"CUN",15
1728,"CUN",16
1845,"CUN",17
1699,"CUN",18
1578,"CUN",19
1688,"CUN",20
2097,"CUN",21
1979,"CUN",22
1993,"CUN",23
2020,"CUN",24
1971,"CUN",25
2079,"CUN",26
2151,"CUN",27
2038,"CUN",28
2019,"CUN",29
1922,"CUN",30
2344,"CUN",31
2400,"CUN",32
2429,"CUN",33
2353,"CUN",34
2113,"CUN",35
2236,"CUN",36
2358,"CUN",37
2194,"CUN",38
2250,"CUN",39
2151,"CUN",40
2705,"CUN",41
2491,"CUN",42
2585,"CUN",43
2746,"CUN",44
2632,"CUN",45
2745,"CUN",46
2565,"CUN",47
2478,"CUN",48
2563,"CUN",49
2736,"CUN",50
3456,"CUN",51
3402,"CUN",52
3409,"CUN",53
3265,"CUN",54
3227,"CUN",55
3446,"CUN",56
3425,"CUN",57
3633,"CUN",58
3411,"CUN",59
3396,"CUN",60
3847,"CUN",61
3884,"CUN",62
3600,"CUN",63
3537,"CUN",64
3535,"CUN",65
3618,"CUN",66
3693,"CUN",67
3730,"CUN",68
3861,"CUN",69
3780,"CUN",70
6191,"CUN",71
6030,"CUN",72
6148,"CUN",73
6120,"CUN",74
6012,"CUN",75
6178,"CUN",76
5944,"CUN",77
6184,"CUN",78
6020,"CUN",79
6178,"CUN",80
1911,"SPT",1
1987,"SPT",2
2080,"SPT",3
2079,"SPT",4
1929,"SPT",5
2227,"SPT",6
2147,"SPT",7
2010,"SPT",8
1889,"SPT",9
1833,"SPT",10
2204,"SPT",11
2395,"SPT",12
2083,"SPT",13
2289,"SPT",14
2260,"SPT",15
2291,"SPT",16
2634,"SPT",17
2435,"SPT",18
2637,"SPT",19
2382,"SPT",20
2795,"SPT",21
3067,"SPT",22
2713,"SPT",23
2636,"SPT",24
2578,"SPT",25
2801,"SPT",26
2683,"SPT",27
2906,"SPT",28
3012,"SPT",29
2791,"SPT",30
2876,"SPT",31
3016,"SPT",32
3042,"SPT",33
3146,"SPT",34
2956,"SPT",35
2925,"SPT",36
2889,"SPT",37
3053,"SPT",38
3105,"SPT",39
2805,"SPT",40
3396,"SPT",41
3651,"SPT",42
3467,"SPT",43
3198,"SPT",44
3435,"SPT",45
3498,"SPT",46
3493,"SPT",47
3403,"SPT",48
3216,"SPT",49
3424,"SPT",50
4135,"SPT",51
4345,"SPT",52
4168,"SPT",53
4022,"SPT",54
4140,"SPT",55
4148,"SPT",56
4382,"SPT",57
4380,"SPT",58
4070,"SPT",59
4163,"SPT",60
4694,"SPT",61
4946,"SPT",62
4693,"SPT",63
4264,"SPT",64
4467,"SPT",65
4795,"SPT",66
4474,"SPT",67
4701,"SPT",68
4897,"SPT",69
4783,"SPT",70
7627,"SPT",71
7195,"SPT",72
7834,"SPT",73
7679,"SPT",74
7611,"SPT",75
7632,"SPT",76
7869,"SPT",77
7347,"SPT",78
7425,"SPT",79
7166,"SPT",80
